variant,date,issue_datetime,issue_hour,first_target_end,last_target_end,soc_measured_kwh,planned_terminal_kwh,milp_gap,price_mode,radius_scale,nominal_horizon_proxy_cost_yuan,box_worst_horizon_proxy_cost_yuan,q2_pv_history_only,load_history_through_date
4-3,2025-05-15,2025-05-15 12:00:00,12,2025-05-15 12:10:00,2025-05-16 12:00:00,8820.746319926217,6000.0,0.0,forecast,1.0,41043.65821300671,45826.25988530749,False,2025-05-14
4-3,2025-05-15,2025-05-15 18:00:00,18,2025-05-15 18:10:00,2025-05-16 18:00:00,10800.0,6000.0,0.0,forecast,1.0,32085.91638174528,36269.0932860259,False,2025-05-14
4-3,2025-05-16,2025-05-16 00:00:00,0,2025-05-16 00:10:00,2025-05-17 00:00:00,7612.124400621386,6000.0,0.0,forecast,1.0,12921.41916863251,14654.988673726439,False,2025-05-15
4-3,2025-05-16,2025-05-16 06:00:00,6,2025-05-16 06:10:00,2025-05-17 06:00:00,2653.3548905336643,6000.0,0.0,forecast,1.0,14755.680152465726,16832.884420987873,False,2025-05-15
4-3,2025-05-16,2025-05-16 12:00:00,12,2025-05-16 12:10:00,2025-05-17 12:00:00,10800.0,6000.0,3.5855749712989556e-16,forecast,1.0,13392.24579831324,15234.585892470353,False,2025-05-15
4-3,2025-05-16,2025-05-16 18:00:00,18,2025-05-16 18:10:00,2025-05-17 18:00:00,10538.990272405477,6000.0,3.603467366617488e-16,forecast,1.0,11974.96201197111,13698.73688866854,False,2025-05-15
4-3,2025-05-17,2025-05-17 00:00:00,0,2025-05-17 00:10:00,2025-05-18 00:00:00,7403.256139513262,6000.0,0.0,forecast,1.0,13160.741800230688,14918.657506532449,False,2025-05-16
4-3,2025-05-17,2025-05-17 06:00:00,6,2025-05-17 06:10:00,2025-05-18 06:00:00,2530.7024295907613,6000.0,0.0,forecast,1.0,16701.976980783176,18791.14257755575,False,2025-05-16
4-3,2025-05-17,2025-05-17 12:00:00,12,2025-05-17 12:10:00,2025-05-18 12:00:00,10800.0,6000.0,0.0,forecast,1.0,15343.029788670472,17220.96084178463,False,2025-05-16
4-3,2025-05-17,2025-05-17 18:00:00,18,2025-05-17 18:10:00,2025-05-18 18:00:00,10800.0,6000.0,0.0,forecast,1.0,14300.704951578557,16064.808517866502,False,2025-05-16
4-3,2025-05-18,2025-05-18 00:00:00,0,2025-05-18 00:10:00,2025-05-19 00:00:00,7366.325700710072,6000.0,0.0,forecast,1.0,42042.131968309914,46604.44190567961,False,2025-05-17
4-3,2025-05-18,2025-05-18 06:00:00,6,2025-05-18 06:10:00,2025-05-19 06:00:00,10094.574286496914,6000.0,0.0,forecast,1.0,41157.24170375022,45599.589984042206,False,2025-05-17
4-3,2025-05-18,2025-05-18 12:00:00,12,2025-05-18 12:10:00,2025-05-19 12:00:00,10516.158348688323,6000.0,7.896615934211825e-16,forecast,1.0,44922.83167262153,49783.97675460271,False,2025-05-17
4-3,2025-05-18,2025-05-18 18:00:00,18,2025-05-18 18:10:00,2025-05-19 18:00:00,10800.0,6000.0,0.0,forecast,1.0,39015.219185595975,43123.273943691136,False,2025-05-17
4-3,2025-05-19,2025-05-19 00:00:00,0,2025-05-19 00:10:00,2025-05-20 00:00:00,7701.258208888457,6000.0,0.0,forecast,1.0,37256.57223757884,41105.65825167319,False,2025-05-18
